plastic_strain,subcycling_stress,trapezoid_stress,relative_difference_percent
2.039761999999999869e-04,1.047057480859464407e+08,9.830330000000000000e+07,6.512953365702312425e+00
2.059034999999999913e-04,1.051337000000000000e+08,9.858756295610305667e+07,6.639921758499767179e+00
2.085869999999999868e-04,1.053794487383023500e+08,9.898336000000000000e+07,6.461781796760940111e+00
2.098466000000000112e-04,1.054948000000000000e+08,9.898834950657051802e+07,6.572945731353573073e+00
2.140153999999999906e-04,1.061083000000000000e+08,9.900486288779567182e+07,7.174836573689118424e+00
2.160065000000000129e-04,1.062486202386985123e+08,9.901275000000000000e+07,7.308018652848762287e+00
2.197381000000000095e-04,1.065116000000000000e+08,9.970553499409355223e+07,6.826165675064710392e+00
2.199852000000000025e-04,1.065434042301350534e+08,9.975141000000000000e+07,6.808920525669816648e+00
2.234247000000000023e-04,1.069861021239007562e+08,1.003554000000000000e+08,6.607220063794032150e+00
2.248325000000000128e-04,1.071673000000000000e+08,1.004676927767018229e+08,6.668419506944024633e+00
2.276070000000000046e-04,1.076666725657746792e+08,1.006890000000000000e+08,6.929925379907118987e+00
2.292794999999999924e-04,1.079677000000000000e+08,1.007387164216628671e+08,7.175973483798142816e+00
2.343687999999999913e-04,1.084581433741248548e+08,1.008900000000000000e+08,7.501381082490688357e+00
2.344357999999999891e-04,1.084646000000000000e+08,1.009026880444415659e+08,7.494262147137117580e+00
2.387392000000000062e-04,1.090692000000000000e+08,1.017176392451851368e+08,7.227419756660202310e+00
2.389950999999999914e-04,1.091188131876950413e+08,1.017661000000000000e+08,7.225110510960959687e+00
2.421036999999999907e-04,1.097215000000000000e+08,1.020787778947368413e+08,7.487082293583391390e+00
2.448091000000000004e-04,1.100201327014640570e+08,1.023509000000000000e+08,7.493077932352385062e+00
2.477113999999999878e-04,1.103405000000000000e+08,1.026478939707943052e+08,7.494168396084598172e+00
2.502326999999999937e-04,1.106036388268478960e+08,1.029059000000000000e+08,7.480366846651062218e+00
2.537737000000000196e-04,1.109732000000000000e+08,1.034549329822881818e+08,7.267190457702938922e+00
2.544107000000000204e-04,1.110665892094633579e+08,1.035537000000000000e+08,7.255065931457164830e+00
2.574063999999999823e-04,1.115057823880966008e+08,1.040438000000000000e+08,7.171962565858418515e+00
2.586261000000000072e-04,1.116846000000000000e+08,1.040222884323541820e+08,7.366028649358765001e+00
2.646192000000000227e-04,1.121069000000000000e+08,1.039165895096206069e+08,7.881619796251236210e+00
2.656959000000000187e-04,1.122613185825710148e+08,1.038976000000000000e+08,8.049963216254287346e+00
2.698116999999999768e-04,1.128516000000000000e+08,1.042105350065176338e+08,8.291930362838966673e+00
2.708357999999999794e-04,1.130016402381210029e+08,1.042884000000000000e+08,8.354946703680374398e+00
2.744312000000000162e-04,1.135284000000000000e+08,1.044050122530597150e+08,8.738457618133093519e+00
2.778871000000000249e-04,1.138563785859025717e+08,1.045171000000000000e+08,8.935646497943945832e+00
2.804025000000000246e-04,1.140951000000000000e+08,1.048126598439408541e+08,8.856220393490717768e+00
2.833722000000000107e-04,1.146270511448878795e+08,1.051616000000000000e+08,9.000862619899162809e+00
2.854816000000000146e-04,1.150049000000000000e+08,1.051445542172954232e+08,9.377894895371225559e+00
2.881596999999999848e-04,1.154566000000000000e+08,1.051229128450278938e+08,9.830099714042377812e+00
2.901288999999999930e-04,1.157393069306930751e+08,1.051070000000000000e+08,1.011569822247145645e+01
