time,subcycling_plastic_strain,trapezoid_plastic_strain,relative_difference_percent
1.237296000000000054e-05,1.617926000000000000e-04,1.656773336714109559e-04,2.344758685648319130e+00
1.241781000000000063e-05,1.629606340909090911e-04,1.672501999999999865e-04,2.564759808413320741e+00
1.251024000000000035e-05,1.653678000000000060e-04,1.703890006253448665e-04,2.946904205621575734e+00
1.258091999999999982e-05,1.668225120974760605e-04,1.727892000000000024e-04,3.453160210547847608e+00
1.264811999999999978e-05,1.682056000000000078e-04,1.750881719366490831e-04,3.930917697364129992e+00
1.278645999999999921e-05,1.710071999999999981e-04,1.798209067240900125e-04,4.901380426033226989e+00
1.279685999999999999e-05,1.712300645455192645e-04,1.801767000000000125e-04,4.965478585455692873e+00
1.292694999999999996e-05,1.740177999999999994e-04,1.849173505238567038e-04,5.894282225534333008e+00
1.293812000000000040e-05,1.742667663880080836e-04,1.853244000000000039e-04,5.966636671691325944e+00
1.306570999999999997e-05,1.771106000000000047e-04,1.899820225487124613e-04,6.775073965439099233e+00
1.309773000000000038e-05,1.779300497760716640e-04,1.911508999999999930e-04,6.916446756948739782e+00
1.320637999999999975e-05,1.807106000000000109e-04,1.951216074068212421e-04,7.385654309814504437e+00
1.322409999999999931e-05,1.811447471394037024e-04,1.957692000000000026e-04,7.470252144155617557e+00
1.328117999999999945e-05,1.825432301369862809e-04,1.978511000000000072e-04,7.737065835375049438e+00
1.335530000000000069e-05,1.843592000000000017e-04,2.005653915939256769e-04,8.080253260611137023e+00
1.344843999999999926e-05,1.870640247781793963e-04,2.039761999999999869e-04,8.291249283897137445e+00
1.350745000000000058e-05,1.887776999999999934e-04,2.057068997519241962e-04,8.229767583070993098e+00
1.360565000000000076e-05,1.914641854544281766e-04,2.085869999999999868e-04,8.208955757344327253e+00
1.366248000000000035e-05,1.930188999999999961e-04,2.113766141912007911e-04,8.684836901870005121e+00
1.375680000000000015e-05,1.955489653798477088e-04,2.160065000000000129e-04,9.470795841862306830e+00
1.383188999999999980e-05,1.975632000000000061e-04,2.179987684915977596e-04,9.374166942775822520e+00
1.390675999999999931e-05,1.997885397767007996e-04,2.199852000000000025e-04,9.180917726873991214e+00
1.399490000000000047e-05,2.024082999999999980e-04,2.223847372012031356e-04,8.982827442482891556e+00
1.403309999999999952e-05,2.033374992483819152e-04,2.234247000000000023e-04,8.990590902267335593e+00
1.413858999999999976e-05,2.059034999999999913e-04,2.272504962799167601e-04,9.393597210728426461e+00
1.414841999999999963e-05,2.062460903570797186e-04,2.276070000000000046e-04,9.384996789606772083e+00
1.425172999999999983e-05,2.098466000000000112e-04,2.321272637375436539e-04,9.598469123702519923e+00
1.430296000000000070e-05,2.113421715966386965e-04,2.343687999999999913e-04,9.824954688235505884e+00
1.439452999999999955e-05,2.140153999999999906e-04,2.367759270583555604e-04,9.612686281551770406e+00
