time,subcycling_density,trapezoid_density,relative_difference_percent
7.069297000000000428e-04,1.996668000000000000e+13,1.993304129864724219e+13,1.687584992614283574e-01
7.074208000000000015e-04,1.996656105805607422e+13,1.993329000000000000e+13,1.669120253408956367e-01
7.125862999999999642e-04,1.996531000000000000e+13,1.993684642034424609e+13,1.427687160528491872e-01
7.151478000000000175e-04,1.996067868688990625e+13,1.993861000000000000e+13,1.106831764596742235e-01
7.197265999999999473e-04,1.995240000000000000e+13,1.994718494107887500e+13,2.614433533618672201e-02
7.239476999999999805e-04,1.993899731192095312e+13,1.995509000000000000e+13,8.064452768214463996e-02
7.273577000000000037e-04,1.992817000000000000e+13,1.995917456775062891e+13,1.553399297420097469e-01
7.325549999999999683e-04,1.993107019421024609e+13,1.996540000000000000e+13,1.719464963875199370e-01
7.355652999999999758e-04,1.993275000000000000e+13,1.997468809735391797e+13,2.099562063223084085e-01
7.406122000000000443e-04,1.993971685181369922e+13,1.999026000000000000e+13,2.528388734628803647e-01
7.438164000000000364e-04,1.994414000000000000e+13,1.999687573110676953e+13,2.637198521203730217e-01
7.478819999999999522e-04,1.994212500006643750e+13,2.000527000000000000e+13,3.156418280461223413e-01
7.513422999999999977e-04,1.994041000000000000e+13,2.001354558992346875e+13,3.654304510655596583e-01
7.532132000000000410e-04,1.994319721235854688e+13,2.001802000000000000e+13,3.737771649816171715e-01
7.585178999999999836e-04,1.995110000000000000e+13,1.999849713937717969e+13,2.370035060477339306e-01
7.608076999999999765e-04,1.995108944938487891e+13,1.999007000000000000e+13,1.949995703622903476e-01
7.650288000000000097e-04,1.995107000000000000e+13,1.998132466872419141e+13,1.514147296327534864e-01
7.678064000000000286e-04,1.994822871490267969e+13,1.997557000000000000e+13,1.368736166092898165e-01
7.735729000000000216e-04,1.994233000000000000e+13,1.996342865783848828e+13,1.056865441308051656e-01
7.759470000000000299e-04,1.994516862344337891e+13,1.995843000000000000e+13,6.644498869210199721e-02
7.826390000000000126e-04,1.995317000000000000e+13,1.996968369638892188e+13,8.269383050823191084e-02
7.845039999999999956e-04,1.995640254585205859e+13,1.997282000000000000e+13,8.219897915237511787e-02
7.908719999999999726e-04,1.996744000000000000e+13,1.995824726727096484e+13,4.605981981248469248e-02
7.910019000000000338e-04,1.996714142743794922e+13,1.995795000000000000e+13,4.605396565253053881e-02
7.983846999999999862e-04,1.995017220872282031e+13,1.995556000000000000e+13,2.699894804846212151e-02
7.989381999999999734e-04,1.994890000000000000e+13,1.995542346772446094e+13,3.269019940875660113e-02
8.043845999999999895e-04,1.994873144844976953e+13,1.995408000000000000e+13,2.680430042492797788e-02
8.076627000000000285e-04,1.994863000000000000e+13,1.995120170207428516e+13,1.288996077874237506e-02
8.119582999999999879e-04,1.994848736740610156e+13,1.994743000000000000e+13,5.300770104728090570e-03
8.154930000000000338e-04,1.994837000000000000e+13,1.994607731804917188e+13,1.149440019844644341e-02
