time,subcycling_density,trapezoid_density,relative_difference_percent
5.532491000000000356e-06,2.597211061580000305e+10,2.489145000000000000e+10,4.341493226790737125e+00
5.534224000000000124e-06,2.598710765120000458e+10,2.489563000000000000e+10,4.384213820658503735e+00
5.536303999999999942e-06,2.600510755520000076e+10,2.490080000000000000e+10,4.434827616783399762e+00
5.538798999999999992e-06,2.602669878620000076e+10,2.490723000000000000e+10,4.494553534054171351e+00
5.541794000000000291e-06,2.605261691720000458e+10,2.491526000000000000e+10,4.564900856744038116e+00
5.545386999999999733e-06,2.608371002059999847e+10,2.492535000000000000e+10,4.647316970875026598e+00
5.549699000000000175e-06,2.612102520620000458e+10,2.493809000000000000e+10,4.743487597486433671e+00
5.554873999999999664e-06,2.616580862119999695e+10,2.495428000000000000e+10,4.854993296540701664e+00
5.561083000000000166e-06,2.621954006540000153e+10,2.497625000000000000e+10,4.977889256393579487e+00
5.567293000000000061e-06,2.627328016340000153e+10,2.499967000000000000e+10,5.094507901104300629e+00
5.573501999999999717e-06,2.632701160759999847e+10,2.502448000000000000e+10,5.205029665351680990e+00
5.579711999999999612e-06,2.638075170559999847e+10,2.504944000000000000e+10,5.314736399695955349e+00
5.587163000000000093e-06,2.644523116940000153e+10,2.508239000000000000e+10,5.433458172845575973e+00
5.594614999999999967e-06,2.650971928700000000e+10,2.511710000000000000e+10,5.544506678716889958e+00
5.599999999999999747e-06,2.655632000000000000e+10,2.514343598174741745e+10,5.619295705162370425e+00
5.602065999999999601e-06,2.655404967259999847e+10,2.515354000000000000e+10,5.567843224452695416e+00
5.609517000000000083e-06,2.654586176870000076e+10,2.519168000000000000e+10,5.375511949580181970e+00
5.616968999999999956e-06,2.653767276590000153e+10,2.523011000000000000e+10,5.182548811321082916e+00
5.625909999999999639e-06,2.652784750100000000e+10,2.528019000000000000e+10,4.935316945798271071e+00
5.634852000000000408e-06,2.651802113720000076e+10,2.533278000000000000e+10,4.678685628659787099e+00
5.643794000000000331e-06,2.650819477339999771e+10,2.538812000000000000e+10,4.411806677296301160e+00
5.652735000000000013e-06,2.649836950850000000e+10,2.544655000000000000e+10,4.133446414150444781e+00
5.661676999999999936e-06,2.648854314470000076e+10,2.550883000000000000e+10,3.840682401740890484e+00
5.670617999999999618e-06,2.647871787979999924e+10,2.557693000000000000e+10,3.525786244869885788e+00
5.675089000000000003e-06,2.647380469790000153e+10,2.561554000000000000e+10,3.350562579980752353e+00
5.676206999999999947e-06,2.647257612770000076e+10,2.562546000000000000e+10,3.305759692508937420e+00
5.677324999999999891e-06,2.647134755750000000e+10,2.563772000000000000e+10,3.251566666224609659e+00
5.677883999999999864e-06,2.647073327240000153e+10,2.564408000000000000e+10,3.223563771443551662e+00
5.678441999999999596e-06,2.647012008620000076e+10,2.523461000000000000e+10,4.896093445470331318e+00
5.679001000000000415e-06,2.646950580109999847e+10,2.523773000000000000e+10,4.880691730595416722e+00
5.679672000000000091e-06,2.646876843920000076e+10,2.524149000000000000e+10,4.862147358178938283e+00
5.680476999999999654e-06,2.646788382470000076e+10,2.524605000000000000e+10,4.839702942440503364e+00
5.681442000000000245e-06,2.646682338620000076e+10,2.525158000000000000e+10,4.812543952497232880e+00
5.682600999999999839e-06,2.646554976109999847e+10,2.525828000000000000e+10,4.779699017906200886e+00
5.683991999999999907e-06,2.646402119120000076e+10,2.526638000000000000e+10,4.740058493539639706e+00
5.685660999999999603e-06,2.646218712709999847e+10,2.527616000000000000e+10,4.692275753516350179e+00
5.687663000000000232e-06,2.645998712929999924e+10,2.528800000000000000e+10,4.634558404381521335e+00
5.690066000000000283e-06,2.645734647259999847e+10,2.530234000000000000e+10,4.564820773888890848e+00
5.692950000000000271e-06,2.645417724500000000e+10,2.531973000000000000e+10,4.480487133946531308e+00
5.696410000000000065e-06,2.645037505100000000e+10,2.534088000000000000e+10,4.378281460628044464e+00
5.699999999999999636e-06,2.644643000000000000e+10,2.536319644990365601e+10,4.270887355369038296e+00
5.700562000000000326e-06,2.644977142720000458e+10,2.536669000000000000e+10,4.269699464928236488e+00
5.705544999999999597e-06,2.647939835200000000e+10,2.539880000000000000e+10,4.254525221664015255e+00
5.710527999999999716e-06,2.650902527679999924e+10,2.543215000000000000e+10,4.234306878498276028e+00
5.713018999999999655e-06,2.652383576639999771e+10,2.544957000000000000e+10,4.221154881595239772e+00
5.714264999999999744e-06,2.653124398400000000e+10,2.545863000000000000e+10,4.213164588982203362e+00
5.715509999999999594e-06,2.653864625600000000e+10,2.546814000000000000e+10,4.203315420757071763e+00
5.716132999999999639e-06,2.654235036479999924e+10,2.547322000000000000e+10,4.197075849853294294e+00
5.716755999999999684e-06,2.654605447359999847e+10,2.531038000000000000e+10,4.882085822496534888e+00
5.717378999999999728e-06,2.654975858240000153e+10,2.531317000000000000e+10,4.885158920830545703e+00
5.718125999999999808e-06,2.655419994559999847e+10,2.531655000000000000e+10,4.888699074715940895e+00
5.719023000000000216e-06,2.655953314880000305e+10,2.532063000000000000e+10,4.892860678427049415e+00
5.720099999999999664e-06,2.656593656000000000e+10,2.532555000000000000e+10,4.897767511465693779e+00
5.721391000000000360e-06,2.657361232960000229e+10,2.533151000000000000e+10,4.903388426509127207e+00
5.722941000000000371e-06,2.658282800960000229e+10,2.533874000000000000e+10,4.909825861901587096e+00
