time,subcycling_plastic_strain,trapezoid_plastic_strain,relative_difference_percent
5.512314999999999925e-06,3.130185651400000139e-06,3.273932999999999965e-06,4.390662502867340500e+00
5.512540000000000418e-06,3.130540602400000761e-06,3.274229999999999905e-06,4.388494320802116988e+00
5.512809999999999824e-06,3.130966543600000067e-06,3.274585000000000175e-06,4.385852143095998912e+00
5.513134000000000297e-06,3.131477673040000928e-06,3.275011999999999892e-06,4.382711481973164069e+00
5.513523000000000236e-06,3.132091343880000831e-06,3.275524999999999865e-06,4.378951652635807434e+00
5.513988999999999970e-06,3.132826486840000073e-06,3.276140000000000112e-06,4.374462421019860159e+00
5.514549000000000181e-06,3.133709920440000736e-06,3.276878000000000155e-06,4.369039053635790815e+00
5.515221000000000096e-06,3.134770040760000515e-06,3.277764000000000048e-06,4.362545907514987498e+00
5.516026999999999899e-06,3.136041554120000311e-06,3.278828000000000196e-06,4.354801346090733993e+00
5.516994000000000122e-06,3.137567054640000689e-06,3.280105000000000082e-06,4.345529955900783392e+00
5.518155000000000194e-06,3.139398601800000458e-06,3.281639000000000074e-06,4.334431611764719250e+00
5.519547999999999894e-06,3.141596142880000212e-06,3.283481999999999914e-06,4.321201003081475811e+00
5.521219000000000068e-06,3.144232245640000601e-06,3.285696000000000042e-06,4.305442571680381469e+00
5.523224999999999961e-06,3.147396831000000184e-06,3.288359999999999887e-06,4.286731653468589087e+00
5.524228000000000330e-06,3.148979123680001034e-06,3.291588000000000053e-06,4.332525100954280894e+00
5.525230999999999853e-06,3.150561416360000190e-06,3.293262999999999914e-06,4.333136577309486981e+00
5.526232999999999983e-06,3.152142131480000345e-06,3.294824000000000017e-06,4.330485286012232926e+00
5.527437000000000184e-06,3.154041513720000796e-06,3.296385000000000119e-06,4.318169336409409809e+00
5.528640000000000145e-06,3.155939318400000552e-06,3.298303000000000123e-06,4.316270567015812354e+00
5.529844000000000346e-06,3.157838700640001004e-06,3.300476999999999995e-06,4.321748018846942152e+00
5.531047000000000307e-06,3.159736505320000760e-06,3.302333999999999797e-06,4.318082140691978488e+00
5.532491000000000356e-06,3.162014501960000830e-06,3.304190000000000208e-06,4.302885065326127467e+00
5.534224000000000124e-06,3.164748413440000714e-06,3.306417999999999875e-06,4.284684711975290661e+00
5.536303999999999942e-06,3.168029738240000091e-06,3.309091000000000180e-06,4.262840210801095431e+00
5.538798999999999992e-06,3.171965750440000511e-06,3.312300000000000034e-06,4.236761451559324598e+00
5.541794000000000291e-06,3.176690542640000949e-06,3.316150000000000005e-06,4.205462881956457011e+00
5.545386999999999733e-06,3.182358715720000101e-06,3.320770000000000056e-06,4.168047900938636197e+00
5.549699000000000175e-06,3.189161154440000802e-06,3.326315000000000017e-06,4.123296968567294662e+00
5.554873999999999664e-06,3.197325027439999858e-06,3.332970999999999941e-06,4.069821566404270285e+00
5.561083000000000166e-06,3.207120097480000570e-06,3.340959000000000211e-06,4.006002543581038466e+00
5.567293000000000061e-06,3.216916745080000708e-06,3.350538999999999957e-06,3.988082362867564346e+00
5.573501999999999717e-06,3.226711815120000150e-06,3.360122999999999813e-06,3.970425632633081126e+00
5.579711999999999612e-06,3.236508462719999863e-06,3.369712000000000019e-06,3.952965039148750748e+00
5.587163000000000093e-06,3.248262862280000773e-06,3.379327000000000095e-06,3.878409450165649197e+00
5.594614999999999967e-06,3.260018839400000260e-06,3.390870000000000028e-06,3.858925898073348737e+00
5.599999999999999747e-06,3.268514000000000094e-06,3.399221050194604884e-06,3.845205953496958706e+00
5.602065999999999601e-06,3.271756793600000053e-06,3.402424999999999870e-06,3.840443401397527268e+00
5.609517000000000083e-06,3.283451883200000610e-06,3.413992000000000042e-06,3.823679633695668656e+00
5.616968999999999956e-06,3.295148542400000425e-06,3.425574999999999809e-06,3.807432550739638710e+00
5.625909999999999639e-06,3.309182335999999887e-06,3.437181999999999815e-06,3.723971090271040119e+00
5.634852000000000408e-06,3.323217699200001148e-06,3.451126000000000168e-06,3.706277336730070537e+00
5.643794000000000331e-06,3.337253062400001137e-06,3.465100000000000078e-06,3.689559827999161712e+00
5.652735000000000013e-06,3.351286856000000600e-06,3.479110999999999951e-06,3.674046157193586293e+00
5.661676999999999936e-06,3.365322219200000590e-06,3.493164000000000137e-06,3.659770362914525066e+00
5.670617999999999618e-06,3.379356012800000053e-06,3.507271999999999935e-06,3.647164725176715194e+00
5.675089000000000003e-06,3.386373694400000683e-06,3.521465000000000173e-06,3.836224571307665698e+00
5.676206999999999947e-06,3.388128507200000548e-06,3.528636000000000125e-06,3.981920855537368631e+00
5.677324999999999891e-06,3.389883320000000414e-06,3.530434000000000205e-06,3.981116202710482277e+00
5.677883999999999864e-06,3.390760726400000559e-06,3.532261000000000027e-06,4.005940489675011484e+00
5.678441999999999596e-06,3.391636563200000177e-06,3.533187000000000177e-06,4.006310359457339487e+00
5.679001000000000415e-06,3.392513969600001168e-06,3.534047000000000199e-06,4.004842901070614580e+00
5.679672000000000091e-06,3.393567171200001024e-06,3.534905999999999982e-06,3.998375877604636752e+00
5.680476999999999654e-06,3.394830699200000321e-06,3.535936999999999854e-06,3.990633905524887393e+00
5.681442000000000245e-06,3.396345363200000900e-06,3.537178000000000017e-06,3.981497023898687537e+00
5.682600999999999839e-06,3.398164529600000342e-06,3.538668999999999882e-06,3.970545716482653198e+00
5.683991999999999907e-06,3.400347843200000455e-06,3.540459999999999980e-06,3.957456285341439450e+00
5.685660999999999603e-06,3.402967505600000063e-06,3.542612999999999907e-06,3.941878336696665652e+00
5.687663000000000232e-06,3.406109844800001034e-06,3.545197999999999900e-06,3.923283133974432069e+00
5.690066000000000283e-06,3.409881593600001075e-06,3.548302000000000032e-06,3.901032279665004321e+00
5.692950000000000271e-06,3.414408320000001251e-06,3.552030000000000024e-06,3.874451510826169010e+00
5.696410000000000065e-06,3.419839136000000786e-06,3.556507000000000150e-06,3.842755377678136242e+00
5.699999999999999636e-06,3.425474000000000197e-06,3.561157917630057002e-06,3.810106734057841393e+00
5.700562000000000326e-06,3.427217020520002311e-06,3.561886000000000188e-06,3.780833510112279416e+00
5.705544999999999597e-06,3.442671595699999957e-06,3.568349000000000079e-06,3.522004274245599920e+00
5.710527999999999716e-06,3.458126170880000145e-06,3.576118000000000021e-06,3.299438920080373983e+00
5.713018999999999655e-06,3.465851907740000023e-06,3.583907999999999907e-06,3.294060345857088734e+00
5.714264999999999744e-06,3.469716326900000177e-06,3.587814000000000154e-06,3.291633097479411241e+00
5.715509999999999594e-06,3.473577644599999477e-06,3.589771000000000176e-06,3.236790185223533456e+00
5.716132999999999639e-06,3.475509854179999978e-06,3.591735999999999995e-06,3.235932312953958778e+00
5.716755999999999684e-06,3.477442063760000055e-06,3.592752000000000089e-06,3.209515609204310227e+00
5.717378999999999728e-06,3.479374273340000133e-06,3.593725000000000054e-06,3.181955398924511513e+00
5.718125999999999808e-06,3.481691063960000390e-06,3.594698000000000019e-06,3.143711545170126076e+00
5.719023000000000216e-06,3.484473073580001466e-06,3.595866000000000073e-06,3.097805269161826303e+00
5.720099999999999664e-06,3.487813345999999798e-06,3.597267999999999810e-06,3.042716139025505306e+00
5.721391000000000360e-06,3.491817330860002019e-06,3.598950999999999892e-06,2.976802661108691517e+00
5.722941000000000371e-06,3.496624593860001727e-06,3.600972999999999802e-06,2.897783630701981750e+00
